"","start.station.id","start.station.name"
"1",72,"W 52 St & 11 Ave"
"2798",79,"Franklin St & W Broadway"
"4890",82,"St James Pl & Pearl St"
"5661",83,"Atlantic Ave & Fort Greene Pl"
"6740",119,"Park Ave & St Edwards St"
"6961",120,"Lexington Ave & Classon Ave"
"7747",127,"Barrow St & Hudson St"
"12017",128,"MacDougal St & Prince St"
"16752",143,"Clinton St & Joralemon St"
"18490",144,"Nassau St & Navy St"
"19055",146,"Hudson St & Reade St"
"21110",150,"E 2 St & Avenue C"
"23223",151,"Cleveland Pl & Spring St"
"28575",152,"Warren St & Church St"
"28914",157,"Henry St & Atlantic Ave"
"30338",161,"LaGuardia Pl & W 3 St"
"34924",164,"E 47 St & 2 Ave"
"36837",167,"E 39 St & 3 Ave"
"39829",168,"W 18 St & 6 Ave"
"45036",173,"Broadway & W 49 St"
"49459",174,"E 25 St & 1 Ave"
"52459",195,"Liberty St & Broadway"
"55249",212,"W 16 St & The High Line"
"58627",216,"Columbia Heights & Cranberry St"
"59348",217,"Old Fulton St"
"61638",223,"W 13 St & 7 Ave"
"61724",228,"E 48 St & 3 Ave"
"63556",229,"Great Jones St"
"69224",232,"Cadman Plaza E & Tillary St"
"70353",236,"St Marks Pl & 2 Ave"
"74285",237,"E 11 St & 2 Ave"
"78395",238,"Bank St & Washington St"
"79064",239,"Willoughby St & Fleet St"
"81184",241,"DeKalb Ave & S Portland Ave"
"82268",242,"Carlton Ave & Flushing Ave"
"83256",243,"Fulton St & Rockwell Pl"
"84084",244,"Willoughby Ave & Hall St"
"85332",245,"Myrtle Ave & St Edwards St"
"85898",247,"Perry St & Bleecker St"
"88337",248,"Laight St & Hudson St"
"89228",249,"Harrison St & Hudson St"
"90539",251,"Mott St & Prince St"
"94184",252,"MacDougal St & Washington Sq"
"96867",253,"W 13 St & 5 Ave"
"97074",254,"W 11 St & 6 Ave"
"101318",257,"Lispenard St & Broadway"
"103248",258,"DeKalb Ave & Vanderbilt Ave"
"104729",259,"South St & Whitehall St"
"106693",260,"Broad St & Bridge St"
"107858",261,"Johnson St & Gold St"
"108879",262,"Washington Park"
"109819",264,"Maiden Ln & Pearl St"
"111367",265,"Stanton St & Chrystie St"
"114873",266,"Avenue D & E 8 St"
"116120",267,"Broadway & W 36 St"
"118954",268,"Howard St & Centre St"
"122085",270,"Adelphi St & Myrtle Ave"
"123536",274,"Lafayette Ave & Fort Greene Pl"
"124909",275,"Washington Ave & Greene Ave"
"125671",276,"Duane St & Greenwich St"
"127272",278,"Concord St & Bridge St"
"127862",279,"Peck Slip & Front St"
"130270",280,"E 10 St & 5 Ave"
"130793",281,"Grand Army Plaza & Central Park S"
"137937",282,"Kent Ave & S 11 St"
"139325",284,"Greenwich Ave & 8 Ave"
"141222",285,"Broadway & E 14 St"
"148268",289,"Monroe St & Classon Ave"
"148868",291,"Madison St & Montgomery St"
"150221",293,"Lafayette St & E 8 St"
"156194",295,"Pike St & E Broadway"
"158235",296,"Division St & Bowery"
"160483",297,"E 15 St & 3 Ave"
"164606",301,"E 2 St & Avenue B"
"167687",302,"Avenue D & E 3 St"
"169518",303,"Mercer St & Spring St"
"172590",304,"Broadway & Battery Pl"
"175857",305,"E 58 St & 3 Ave"
"179008",306,"Cliff St & Fulton St_1"
"180618",307,"Canal St & Rutgers St"
"184381",308,"St James Pl & Oliver St"
"186125",309,"Murray St & West St"
"188581",310,"State St & Smith St"
"189867",311,"Norfolk St & Broome St"
"192189",312,"Allen St & Stanton St"
"195909",313,"Washington Ave & Park Ave"
"196868",314,"Cadman Plaza West & Montague St"
"198351",315,"South St & Gouverneur Ln"
"201800",316,"Fulton St & William St"
"203319",317,"E 6 St & Avenue B"
"206331",319,"Fulton St & Broadway"
"209145",320,"Leonard St & Church St"
"210916",321,"Cadman Plaza E & Red Cross Pl"
"212797",322,"Clinton St & Tillary St"
"213978",323,"Lawrence St & Willoughby St"
"216056",324,"DeKalb Ave & Hudson Ave"
"217495",325,"E 19 St & 3 Ave"
"220724",326,"E 11 St & 1 Ave"
"224341",327,"Vesey Pl & River Terrace"
"228875",328,"Watts St & Greenwich St"
"231399",330,"Reade St & Broadway"
"233264",331,"Pike St & Monroe St"
"234572",332,"Cherry St"
"236108",334,"W 20 St & 7 Ave"
"239170",335,"Washington Pl & Broadway"
"242644",336,"Sullivan St & Washington Sq"
"246146",337,"Old Slip & Front St"
"247392",339,"Avenue D & E 12 St"
"248339",340,"Madison St & Clinton St"
"249812",341,"Stanton St & Mangin St"
"250491",342,"Columbia St & Rivington St"
"252212",343,"Clinton Ave & Flushing Ave"
"252998",344,"Monroe St & Bedford Ave"
"253828",345,"W 13 St & 6 Ave"
"254214",346,"Bank St & Hudson St"
"257999",347,"Greenwich St & W Houston St"
"261837",349,"Rivington St & Ridge St"
"263417",350,"Clinton St & Grand St"
"265613",351,"Front St & Maiden Ln"
"267255",353,"S Portland Ave & Hanson Pl"
"268045",354,"Emerson Pl & Myrtle Ave"
"269142",355,"Bayard St & Baxter St"
"271772",356,"Bialystoker Pl & Delancey St"
"273524",357,"E 11 St & Broadway"
"275704",358,"Christopher St & Greenwich St"
"281703",359,"E 47 St & Park Ave"
"287145",360,"William St & Pine St"
"288568",361,"Allen St & Hester St"
"291768",362,"Broadway & W 37 St"
"293557",363,"West Thames St"
"296289",364,"Lafayette Ave & Classon Ave"
"297452",365,"Fulton St & Grand Ave"
"298328",366,"Clinton Ave & Myrtle Ave"
"299945",368,"Carmine St & 6 Ave"
"305869",369,"Washington Pl & 6 Ave"
"308549",372,"Franklin Ave & Myrtle Ave"
"309126",373,"Willoughby Ave & Walworth St"
"309547",376,"John St & William St"
"311123",377,"6 Ave & Canal St"
"314023",379,"W 31 St & 7 Ave"
"319192",380,"W 4 St & 7 Ave S"
"320316",382,"University Pl & E 14 St"
"326783",383,"Greenwich Ave & Charles St"
"331424",386,"Centre St & Worth St"
"333294",387,"Centre St & Chambers St"
"338864",388,"W 26 St & 10 Ave"
"341817",389,"Broadway & Berry St"
"343417",390,"Duffield St & Willoughby St"
"344714",391,"Clark St & Henry St"
"346886",392,"Jay St & Tech Pl"
"348741",393,"E 5 St & Avenue C"
"350413",394,"E 9 St & Avenue C"
"353141",396,"Lefferts Pl & Franklin Ave"
"353776",397,"Fulton St & Clermont Ave"
"354385",398,"Atlantic Ave & Furman St"
"356063",399,"Lafayette Ave & St James Pl"
"357256",400,"Pitt St & Stanton St"
"357951",401,"Allen St & Rivington St"
"361468",402,"Broadway & E 22 St"
"370215",403,"E 2 St & 2 Ave"
"373393",405,"Washington St & Gansevoort St"
"377766",406,"Hicks St & Montague St"
"379453",407,"Henry St & Poplar St"
"380410",408,"Market St & Cherry St"
"381654",409,"DeKalb Ave & Skillman St"
"382287",410,"Suffolk St & Stanton St"
"385978",411,"E 6 St & Avenue D"
"387562",412,"Forsyth St & Canal St"
"390727",414,"Pearl St & Anchorage Pl"
"392010",415,"Pearl St & Hanover Square"
"393644",416,"Cumberland St & Lafayette Ave"
"394814",417,"Barclay St & Church St"
"398448",418,"Front St & Gold St"
"399359",419,"Carlton Ave & Park Ave"
"399975",420,"Clermont Ave & Lafayette Ave"
"400853",421,"Clermont Ave & Park Ave"
"401335",422,"W 59 St & 10 Ave"
"403563",423,"W 54 St & 9 Ave"
"406240",426,"West St & Chambers St"
"412590",427,"Bus Slip & State St"
"414280",432,"E 7 St & Avenue A"
"420034",433,"E 13 St & Avenue A"
"424206",435,"W 21 St & 6 Ave"
"432475",436,"Hancock St & Bedford Ave"
"432985",437,"Macon St & Nostrand Ave"
"434210",438,"St Marks Pl & 1 Ave"
"438123",439,"E 4 St & 2 Ave"
"442349",440,"E 45 St & 3 Ave"
"444660",441,"E 52 St & 2 Ave"
"447560",442,"W 27 St & 7 Ave"
"452080",443,"Bedford Ave & S 9 St"
"452490",445,"E 10 St & Avenue A"
"456875",446,"W 24 St & 7 Ave"
"461498",447,"8 Ave & W 52 St"
"465128",448,"W 37 St & 10 Ave"
"468070",450,"W 49 St & 8 Ave"
"472534",453,"W 22 St & 8 Ave"
"477111",454,"E 51 St & 1 Ave"
"478628",455,"1 Ave & E 44 St"
"480904",456,"E 53 St & Madison Ave"
"483066",457,"Broadway & W 58 St"
"488921",458,"11 Ave & W 27 St"
