"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name","perc","bike_count"
"253",519,346,40.751873,-73.977706,11231,"Pershing Square North",0.0528055443235568,53
"159",402,204,40.7403432,-73.98955109,7863,"Broadway & E 22 St",0.036969993323491,37
"235",497,197,40.73704984,-73.99009296,7646,"E 17 St & Broadway",0.0359497099009808,36
"183",435,149,40.74173969,-73.99415556,7034,"W 21 St & 6 Ave",0.0330722285434866,33
"430",3255,142,40.7505853470215,-73.9946848154068,6545,"8 Ave & W 31 St",0.0307730645176457,31
"67",285,188,40.73454567,-73.99074142,5959,"Broadway & E 14 St",0.0280178291001758,28
"64",281,389,40.7643971,-73.97371465,5851,"Grand Army Plaza & Central Park S",0.0275100382723828,28
"237",499,296,40.76915505,-73.98191841,5764,"Broadway & W 60 St",0.0271009845499939,27
"229",490,152,40.751551,-73.993934,5628,"8 Ave & W 33 St",0.0264615442483285,26
"142",382,170,40.73492695,-73.99200509,5605,"University Pl & E 14 St",0.0263534036090763,26
"218",477,198,40.75640548,-73.9900262,5509,"W 41 St & 8 Ave",0.0259020339843713,26
"256",523,180,40.75466591,-73.99138152,5483,"W 38 St & 8 Ave",0.0257797880443471,26
"179",426,12,40.71754834,-74.01322069,5409,"West St & Chambers St",0.0254318572919703,25
"126",359,374,40.75510267,-73.97498696,5235,"E 47 St & Park Ave",0.0246137498471926,25
"279",2006,362,40.76590936,-73.97634151,5211,"Central Park S & 6 Ave",0.0245009074410163,25
"743",3641,207,40.7428687731211,-73.9891862869263,5178,"Broadway & W 25 St",0.024345749132524,24
"125",358,50,40.73291553,-74.00711384,5145,"Christopher St & Greenwich St",0.0241905908240317,24
"70",293,183,40.7302066052995,-73.9910262823105,5139,"Lafayette St & E 8 St",0.0241623802224876,24
"755",3660,92,40.7410215090027,-74.001384973526,5030,"W 16 St & 8 Ave",0.0236498876277705,24
"201",457,299,40.76695317,-73.98169333,4997,"Broadway & W 58 St",0.0234947293192782,23
"181",432,267,40.72621788,-73.98379855,4905,"E 7 St & Avenue A",0.0230621667622693,23
"28",229,158,40.72743423,-73.99379025,4894,"Great Jones St",0.0230104473261051,23
"243",505,218,40.74901271,-73.98848395,4766,"6 Ave & W 33 St",0.0224086211598319,22
"134",368,86,40.73038599,-74.00214988,4759,"Carmine St & 6 Ave",0.0223757087913638,22
"248",514,78,40.76087502,-74.00277668,4705,"12 Ave & W 40 St",0.0221218133774673,22
"435",3263,187,40.7295149622495,-73.990752696991,4680,"Cooper Square & Astor Pl",0.022004269204367,22
"207",465,243,40.75513557,-73.98658032,4669,"Broadway & W 41 St",0.0219525497682029,22
"223",482,104,40.73935542,-73.99931783,4648,"W 15 St & 7 Ave",0.0218538126627987,22
"231",492,185,40.75019995,-73.99093085,4647,"W 33 St & 7 Ave",0.0218491108958747,22
"145",387,67,40.71273266,-74.0046073,4642,"Centre St & Chambers St",0.0218256020612546,22
"203",459,44,40.746745,-74.007756,4613,"W 20 St & 11 Ave",0.0216892508204583,22
"140",379,175,40.749156,-73.9916,4586,"W 31 St & 7 Ave",0.0215623031135101,22
"19",168,145,40.73971301,-73.99456405,4525,"W 18 St & 6 Ave",0.0212754953311454,21
"269",537,265,40.74025878,-73.98409214,4460,"Lexington Ave & E 24 St",0.0209698804810848,21
"13",151,120,40.722103786686,-73.997249007225,4444,"Cleveland Pl & Spring St",0.0208946522103006,21
"287",3002,6,40.711512,-74.015756,4394,"South End Ave & Liberty St",0.0206595638641001,21
"582",3443,323,40.7613298312481,-73.9798200130463,4271,"W 52 St & 6 Ave",0.0200812465324469,20
"206",462,68,40.74691959,-74.00451887,4234,"W 22 St & 10 Ave",0.0199072811562585,20
"242",504,300,40.73221853,-73.98165557,4192,"1 Ave & E 16 St",0.0197098069454501,20
"577",3435,132,40.718822,-73.99596,4190,"Grand St & Elizabeth St",0.0197004034116021,20
